Strain,Type,Rating,Effects,Flavor,Description
Ogezus,indica,4.5,"Relaxed,Euphoric,Happy,Creative,Energetic","Sweet,Citrus,Lemon","O’Gezus is an indica-dominant collaboration between Dark Heart Nursery’s Fire OG and Humboldt Seed Company’s Humboldt OG. This unique strain was plucked by Dark Heart Nursery during a 2017 phenotype hunt. O’Gezus was picked for its “mean” look, expressing serrated fan leaves and dark coloration. It also exhibits a delightful Kush aroma with subtle notes of gas on the finish. Known to offer pain relief, mood elevation, and physical sedation that gets progressively heavier with continued consumption, enjoy O’Gezus near the end of the day to maximize its relaxing effects.   "
P-51,indica,4.4,"Happy,Giggly,Tingly,Uplifted,Relaxed","Earthy,Spicy/Herbal,Sweet","P-51 is a piney, earthy indica strain that crosses a Tahoe OG male and a Blackberry mother. Created by Clint Pipkin, a grower in both Humboldt County and Northwestern Washington, the male was flowered in a window sill on the Key Peninsula in Pierce County. Thousands of seeds were created during this cross, and Washington producer Rootworx narrowed this strain down to the best cut from 70 phenotypes. This has become Rootworx’s signature strain, resulting in DOPE Magazine’s “Strain of the Month” in June 2015. This deeply relaxing indica has also been deemed “The Tranquilizer Dart” in recreational retail shops throughout Washington state."
P-91,hybrid,4.5,"Euphoric,Happy,Relaxed,Creative,Energetic","Sweet,Chemical,Citrus","P-91 is the product of Northern Lights crossed with itself three times. This cubing comes out as a 50/50 hybrid that offers potent, balanced effects that settle in the limbs. The P-91 genetics originated in Poway, CA in 1991 (e.g., P-91) and has been employed by patients up and down the west coast seeking a functional smoke with inherent indica effects that are not debilitating."
Pvc-Og,indica,4.5,"Tingly,Focused,Talkative,Uplifted,Energetic","","PVC OG is a proprietary strain introduced by Positive Vibrations Collective in Long Beach, California. This strain was developed to provide focus for times when patients need to medicate without compromising productivity. It can also help to calm anxious thoughts and clear a busy mind."
Pacific-Blue,indica,5,"Tingly,Relaxed,Sleepy,Uplifted,Creative","Flowery,Earthy,Sweet","Pacific Blue by Falcanna is a flavorful cut with a THC content that consistently reaches above 20%. This indica-dominant strain was bred by crossing the legendary Kush powerhouse Pre-98 Bubba Kush with the fruity phenom DJ Short Blueberry. These robust and flavorful genetics offer aromas of sweet skunk and blueberry with a smooth floral aftertaste. Pacific Blue’s effects vary with dosage, but the onset is calming and euphoric, insulating the consumer in carefree bliss. This strain can get rather sedating with continued consumption, weighing on the limbs and gluing the body to the couch. Utilize Falcanna’s Pacific Blue to help with headaches, nausea, anxiety, and restlessness.      "
Pagoda,sativa,5,"Uplifted,Happy,Relaxed,Talkative,Energetic","Citrus,Grapefruit,Tropical","Bodhi Seeds crossed the Genius phenotype of Apollo 11 with Appalachia to make this mostly sativa strain. Pagoda grows in the lanky manner of Apollo 11, meaning that she will require a great deal of support to keep her dense flowers off the ground. Flavors of pineapple, melon and starfruit combine with a pronounced chem-fuel funk to create a very unique terpene profile."
Pakistan-Valley-Kush,indica,5,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Pine,Sweet,Earthy","Pakistan Valley Kush is a pure indica landrace strain from the Hindu Kush mountain range. This bushy plant grows squat and resilient, exhibiting deep colors and earthy, floral aromas. Offering heavy sedative effects, this hardy bud relieves pain and saddles the consumer with long-lasting relaxation. This rare landrace is an evening-preferred strain unless the consumer is planning a day in bed or on the couch. Utilize Pakistan Valley Kush to curb physical pain, nausea, restlessness, headaches, and more.  "
Pakistani-Chitral-Kush,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Sweet,Berry","Chitral is a town in Pakistan known for making some of the best hash in the region. Pakistani Chitral Kush, also known as PCK, is a pure indica that is considered a selected landrace, meaning it is an indigenous strain that has been selectively inbred to enhance its characteristics. PCK produces a very colorful phenotype, often earning nicknames like Purple Pakistani or Purple Chitral. This strain is appreciated for its advanced resin production that enables this strain to produce the top-quality concentrates. PCK emits a diverse bouquet of aromas ranging from earthy caramel to sweet notes of fruits and berries. The influence of pure indica genetics creates powerfully relaxing body effects that helps to avoid anxieties and pain, as well as inducing sleep when needed."
Pamelina,indica,4.8,"Euphoric,Relaxed,Happy,Sleepy,Uplifted","Chemical,Sage,Flowery","Pamelina by Rare Dankness is a powerful indica-dominant strain supposedly named for a love interest of one of its breeders. This strain was crafted from the Forum cut of Girl Scout Cookies and Rare Dankness #2, creating a high-yielding, pungent plant with a 58 to 65 day flowering time. Pamelina expresses deep green and purple hues as well as doughy tasting terpenes with touches of windflower and fuel notes. This strain has been known to reduce stress and physical discomfort. "
Panama-Punch,sativa,4.9,"Happy,Energetic,Uplifted,Focused,Tingly","Orange,Tropical,Berry","Berry, apple, grape, mango, pineapple; if you love fruity flavors and terpenes, Panama Punch is the strain for you! A sativa-dominant hybrid, this cross of Panama Mean Green and Neville’s Haze possesses many of the characteristics associated with strong sativas: longer flowering times, high THC levels, and an intense, psychedelic buzz. In addition to the heavy fruit smells, Panama Punch has a spicy, Haze-like flavor when vaped or smoked."
Panama-Red,sativa,4.3,"Happy,Hungry,Uplifted,Energetic,Focused","Earthy,Spicy/Herbal,Skunk","Panama Red is best described as an old-school cannabis classic. Originating from Panama, this pure sativa rose to stardom in the late 1960’s thanks to its typical sativa effects: speedy and intense, bordering on psychedelic. As cannabis cultivation matured, Panama Red, which has a lengthy flowering time of at least 11 weeks, was left behind for faster growing strains and increased profits. However, those who fondly recall days of its prominence love its smooth medicating experience and loftily contemplate its revival. If you can get your hands on this sentimental throwback, do not hesitate to groove down memory lane and enjoy the ride."
Panda-Og,hybrid,4.4,"Relaxed,Euphoric,Happy,Focused,Uplifted","Earthy,Berry,Chemical","From Grow Op Farms’ Phat Panda line, Panda OG is a hybrid from Washington State that crosses two sativa-dominant hybrids, OG Chem and Berry Sour Cream. Combining a long-lasting cerebral high with a sedating body buzz, this strain is great for treating anxiety, appetite loss, and insomnia. Panda OG smells very spicy yet earthy, and tastes sour on the tongue with slight undertones of berry."
Pandoras-Box,sativa,4.3,"Euphoric,Energetic,Uplifted,Happy,Focused","Spicy/Herbal,Citrus,Flowery","A mostly sativa cross of Jack the Ripper and Space Queen, this strain has high THC levels and a citrus flavor."
Papas-Og,indica,4.7,"Relaxed,Focused,Happy,Giggly,Sleepy","Earthy,Pungent,Sweet","Cultivated in Glendale, Arizona exclusively by Arizona Organix, Papa’s OG is an indica cannabis strain that provides positive and uplifting cerebral effects in unique combination with the classic indica full-body relaxation. Consumers find it to be functional and social while still remaining true to its indica roots. A descendant of Skywalker OG and OG Kush, Papa’s OG inherits a sweet and earthy grape aroma and potent medicinal effects suitable for patients treating pain, insomnia, and stress disorders."
Papaya,indica,4.2,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Tropical,Sweet,Tree,Fruit","Papaya is an indica-dominant hybrid cannabis strain that is known for producing effects that might be more in line with a traditional sativa. The indica element of this strain does provide a mental calmness, but many consumers also find that this strain makes them energetic and productive. Nirvana Seeds bred this to be their take on a Mango strain and crossed Citral #13 with Ice #2 to make their own fruit. They met their own challenge and Papaya smells uncannily like its namesake. The taste is similar to its tropical fruit counterpart, but a spicy, peppery side also becomes apparent. The plants stay fairly short and thin, producing lots of fluffy buds with papaya-orange hairs in 8 or 9 weeks."
Paris-Og,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Earthy,Lemon,Pine","Paris OG is an indica-dominant strain with calming effects that promote rest and relaxation. Rumor has it that Paris OG descends from Headband and Lemon OG, who together pass on a sweet blend of fruity, citrus flavors. With victories in multiple competitions including 1st place in the 2014 Michigan High Times' Cannabis Cup, Paris OG has undoubtedly secured itself a long-lasting reputation in the cannabis world."
Paris-Xxx,indica,4.5,"Creative,Aroused,Uplifted,Energetic,Euphoric","Sweet,Pungent,Nutty","Paris XXX is an extension of the Paris OG family that has placed in multiple Cannabis Cup competitions. This indica variety combines Headband OG, Chemdawg, and OG Kush genetics, creating a crisp, piney, and woody flavor on inhale. The fast-acting effects provide a balance of cerebral stimulation and full-body relaxation. Paris XXX is known to increase your appetite while also sparking creativity. "
Patti-Cake,hybrid,0,"None","None","Patti Cake by Potbox is a delectable treat created in homage to the grower’s sweetheart. This strain is a mysterious genetic cross that has been described as a relative of Girl Scout Cookies and Cherry Pie. With sugary notes of frosting, tart cherries, and dough, this sumptuous strain caters to the sweet tooth while instilling alert relaxation. The grower also notes a “pinkalicious” flavor that tells of the strain’s secret ingredient.  "
Peaches-And-Cream,hybrid,4.7,"Euphoric,Relaxed,Focused,Creative,Hungry","Peach,Sweet,Vanilla","The Peaches and Cream hybrid is a Skunk phenotype with a flavor that lives up to its name. Though floral and citrusy in aroma, Peaches and Cream has a sweet fruity taste underscored by a subtle spiciness. Its buds take on a soft pink-orange color during maturation with bright amber hairs bursting from pastel calyxes. Heady euphoria gives way to creativity and good moods, making this strain an excellent choice for focused tasks and unwinding after work."
Pearl-Scout-Cookies,hybrid,4.7,"Uplifted,Happy,Giggly,Relaxed,Focused","Sweet,Citrus,Lemon","Pearl Scout Cookies, a Girl Scout Cookies hybrid, is a cannabis strain developed by Fireline for recreational shops in Washington State. With a THC content that tends to push past 23%, Pearl Scout Cookies is best suited for consumers with a high tolerance. Its dense, chunky buds take on a zesty citrus aroma that brings to mind fresh lemons and oranges. Uplifting euphoria floods the mind and provides a boost of cerebral energy to fuel creativity and happiness."
Peles-Fire-Og,hybrid,5,"Aroused,Uplifted,Energetic,Sleepy,Tingly","Diesel,Earthy,Pungent","Pele’s Fire OG by Pua Mana Pakalōlō puts the volcanic flames of the Hawaiian goddess Pele into this Fire OG backcross. The talented Pua Mana Ohana bred their finest Fire OG male with their most ‘ono (delicious) wahine (female) to create a strain worthy of Pele. The strain expresses classic OG aromas of citrus and earth while delivering euphoric mental effects that settle into the limbs as pleasant warmth."
